strategy,num_users,num_relays,mobility,time_horizon,iterations,total_utility,avg_delay,total_energy,fairness,prediction_error
stackelberg,20,9,1.0,1,3,809.132349653239,5.996088692461531,19.921773849230622,0.7305843749958875,2.615537364215
stackelberg,20,9,1.0,1,2,831.9503182893668,5.994944428128947,19.898888562578957,0.7079266982962936,2.254132572884754
stackelberg,20,9,1.0,1,3,835.853104589023,5.993385649170319,19.8677129834064,0.7236054963028673,2.774837048238051
stackelberg,20,9,1.0,1,2,827.3604571178114,5.991863533093471,19.837270661869404,0.6977182932096019,2.288619853726524
stackelberg,20,9,1.0,1,2,844.7552987735903,5.985986430126236,19.719728602524718,0.7282302000844747,2.567595491195135
stackelberg,20,9,1.0,1,2,846.1197200737622,5.983668336904949,19.673366738098977,0.7389762024267849,2.834441857256926
stackelberg,20,9,1.0,1,4,874.9676862681465,6.733135454205741,19.66270908411481,0.714028127796685,1.9382073279034153
stackelberg,20,9,1.0,1,2,867.50291763469,6.724405043911942,19.48810087823885,0.7101266001890375,2.3402174892990204
stackelberg,20,9,1.0,1,2,878.2540224125682,5.980595187695771,19.611903753915414,0.7191915269965274,2.8486831343539336
stackelberg,20,9,1.0,1,2,880.3741944402718,5.986604900823007,19.732098016460135,0.7077988792565789,2.1431488162249686
stackelberg,20,9,1.0,1,2,856.7937276986593,5.97263217596644,19.452643519328788,0.6794620198409643,3.112792324819811
stackelberg,20,9,1.0,1,2,912.781746533232,6.715663422102274,19.313268442045487,0.7087330172978842,2.7651108581584407
stackelberg,20,9,1.0,1,2,900.7279356645251,6.709666777321997,19.19333554643995,0.7018128467292422,3.3209738109353624
stackelberg,20,9,1.0,1,2,917.7600602120617,6.70686250341967,19.13725006839341,0.6993005306076918,2.412586339131004
stackelberg,20,9,1.0,1,2,926.2182857904629,6.720779178818496,19.41558357636994,0.7033183621496949,3.0167173946808186
stackelberg,20,9,1.0,1,2,922.3546910252659,6.71148452036474,19.229690407294797,0.6921612596318792,2.0162239279844805
stackelberg,20,9,1.0,1,15,882.0612041134941,8.77130087912957,30.426017582591346,0.6444387689667727,2.6010878445648937
stackelberg,20,9,1.0,1,2,935.7878662032509,6.7016847554013905,19.033695108027818,0.6886873613532796,2.635946638818591
stackelberg,20,9,1.0,1,2,931.4996682647612,6.692736118111253,18.854722362225065,0.6879985607777854,2.1815844534957054
stackelberg,20,9,1.0,1,3,976.0519302380239,7.429063062915655,18.581261258313106,0.692000762993629,2.823831601156386
stackelberg,20,9,1.0,1,2,943.5898785035364,6.688662428299226,18.773248565984492,0.6742893448728667,2.6034138886605276
stackelberg,20,9,1.0,1,2,960.3149696931378,6.686275042362044,18.72550084724086,0.6635759264245389,1.6150608721872328
stackelberg,20,9,1.0,1,3,990.2018222798825,6.694662623217495,18.893252464349903,0.69170077289138,2.5761553165135966
stackelberg,20,9,1.0,1,2,982.6625480244893,6.680801221461488,18.616024429229736,0.6881018379635943,2.585155322011409
stackelberg,20,9,1.0,1,4,995.5673575793717,8.165165617699063,18.303312353981287,0.6937658566782346,2.66720496040836
stackelberg,20,9,1.0,1,2,990.7422223963903,8.173911710613389,18.478234212267765,0.6752974217455288,2.3544750324863335
stackelberg,20,9,1.0,1,4,1014.4565892665446,8.158527619720108,18.170552394402094,0.6771347936107839,1.7331597613909477
stackelberg,20,9,1.0,1,2,1023.5032539555705,7.405742363346431,18.114847266928656,0.6710690976185727,2.4963963110303533
stackelberg,20,9,1.0,1,2,1010.0837691750735,6.70830834118796,19.166166823759216,0.6437695885617921,2.376509031551562
stackelberg,20,9,1.0,1,3,1014.3268605553554,7.401550273832166,18.031005476643294,0.6695004944495774,2.128625185617559
stackelberg,20,9,1.0,1,2,1018.1947534679651,6.667359711759209,18.347194235184173,0.6335666455075548,2.4410010922103913
stackelberg,20,9,1.0,1,2,1021.647019769452,7.408966776657526,18.179335533150514,0.6556610484530334,2.577951166115598
stackelberg,20,9,1.0,1,3,1054.5865929049603,8.126610978433943,17.532219568678894,0.6565124128867159,2.9391261949463687
stackelberg,20,9,1.0,1,3,1061.0446840102081,8.135626005373107,17.712520107462115,0.6695610135044263,2.3129733197329103
stackelberg,20,9,1.0,1,2,1056.1712134413071,7.3875624433261295,17.751248866522587,0.6519725967646578,1.9869575237069985
stackelberg,20,9,1.0,1,2,1056.7779727076836,7.385685189007631,17.713703780152613,0.6466503739939079,2.83212852538268
stackelberg,20,9,1.0,1,2,1066.7480386227792,7.410151549752193,18.203030995043875,0.6480497805556881,2.5077193092439534
stackelberg,20,9,1.0,1,2,1045.2296089149984,7.381344539545235,17.626890790904707,0.6335756422500352,2.0813173086487926
stackelberg,20,9,1.0,1,2,1094.7046278026849,8.114518809419192,17.290376188383842,0.6599594644146474,2.6430569536290016
stackelberg,20,9,1.0,1,5,1056.8812969532437,8.16689124939913,18.337824987982607,0.6278808406925342,2.5522504537459176
stackelberg,20,9,1.0,1,2,1118.2865366439687,7.387294780536638,17.745895610732745,0.670127713257298,3.3823425212873675
stackelberg,20,9,1.0,1,3,1089.18273678397,7.378818196193978,17.576363923879573,0.6467280504464834,2.3111413153737472
stackelberg,20,9,1.0,1,2,1090.3404362533745,7.432726634504118,18.654532690082366,0.620522967916947,3.118512322713801
stackelberg,20,9,1.0,1,2,1100.0499531931505,7.373309542901417,17.466190858028348,0.6238005571172112,2.1918230239155903
stackelberg,20,9,1.0,1,2,1107.5901603598527,7.373198883847434,17.463977676948687,0.6358726194443111,2.5999480578664205
stackelberg,20,9,1.0,1,2,1086.275664343773,7.376678917404293,17.533578348085882,0.6241382004520324,2.560010307276445
stackelberg,20,9,1.0,1,2,1127.0296159509503,7.370711509183574,17.414230183671496,0.6430025980763512,2.077701246678457
stackelberg,20,9,1.0,1,4,1111.1442702341847,8.886220115450216,17.72440230900432,0.6258761569638842,3.5205808803253844
stackelberg,20,9,1.0,1,3,1118.8353328918458,8.109738613683346,17.194772273666928,0.6175317474181915,2.235193907014705
stackelberg,20,9,1.0,1,4,1097.4434818926534,7.418312835760882,18.366256715217645,0.619167335464384,1.9196531421660115
stackelberg,20,9,1.0,1,2,1117.2576263566978,7.377193450596056,17.543869011921107,0.6241613191627741,2.243060844745002
stackelberg,20,9,1.0,1,6,1094.550591051187,8.881949131239555,17.63898262479109,0.6134789765262849,2.5967506830467384
stackelberg,20,9,1.0,1,3,1120.4710293237606,8.094832563546376,16.89665127092751,0.6323212437495618,2.856579239367981
stackelberg,20,9,1.0,1,2,1126.8251032678556,8.092513708914272,16.85027417828543,0.6394657978178593,2.4482992701607458
stackelberg,20,9,1.0,1,2,1137.0160814973117,8.102106371605517,17.042127432110355,0.6244880893003396,2.5733660147470934
stackelberg,20,9,1.0,1,2,1144.2273674494077,8.095483318005526,16.909666360110528,0.6304636029130665,2.962446632960221
stackelberg,20,9,1.0,1,2,1144.2128079508152,8.088345440466048,16.766908809320974,0.6320668430988688,2.570232257910824
stackelberg,20,9,1.0,1,2,1122.1794194197194,8.08589105027134,16.717821005426792,0.6384122650573921,2.1328913856378366
stackelberg,20,9,1.0,1,2,1146.124831849138,8.087244184787705,16.744883695754094,0.642323315786154,2.1912076226492396
stackelberg,20,9,1.0,1,2,1143.610507693785,8.0890867238282,16.78173447656396,0.6376140442583671,2.6529467496588097
stackelberg,20,9,1.0,1,2,1156.9235820899557,8.086853461097814,16.737069221956315,0.6596386803827474,2.3500786786252634
stackelberg,20,9,1.0,1,3,1146.5961589249814,9.556720986160716,16.134419723214346,0.64758096831119,1.860530262718921
stackelberg,20,9,1.0,1,2,1180.5419413732134,8.816084439289329,16.321688785786584,0.6797404742167271,2.9468529681468745
stackelberg,20,9,1.0,1,2,1155.8043308770823,8.08514964772299,16.70299295445977,0.6621938138148104,3.119221176659953
stackelberg,20,9,1.0,1,3,1163.4279296171474,8.821842802355441,16.436856047108844,0.6716165200952662,2.0564635128204274
stackelberg,20,9,1.0,1,3,1162.2845103221114,8.815442059011703,16.308841180234015,0.6592823276936409,2.261430275425776
stackelberg,20,9,1.0,1,2,1122.6620201045591,8.082991550457987,16.659831009159724,0.6487239384972787,3.315274930588884
stackelberg,20,9,1.0,1,3,1177.076043851546,9.541193372049333,15.82386744098669,0.6823764505062144,2.233624726185528
stackelberg,20,9,1.0,1,2,1144.1756564115706,8.816623890416286,16.332477808325706,0.6676507370464176,2.3423000421628695
stackelberg,20,9,1.0,1,2,1192.9676699955976,9.543012215231988,15.860244304639767,0.6891151595273846,2.544753399281656
stackelberg,20,9,1.0,1,2,1153.3628902828186,8.817298921970218,16.34597843940436,0.6808053291564083,2.5490713072960967
stackelberg,20,9,1.0,1,2,1154.1858213134035,8.809269554945796,16.185391098915915,0.6730238457227217,2.6089587810713013
stackelberg,20,9,1.0,1,2,1181.575800623867,10.260154577460932,15.203091549218676,0.7052467842473149,2.1675559674129508
stackelberg,20,9,1.0,1,3,1164.881563773583,9.535550220360943,15.711004407218827,0.7010565976952847,2.120953358798869
stackelberg,20,9,1.0,1,2,1195.3878814222157,10.258033336625354,15.160666732507062,0.7222960460030469,2.545036788368648
stackelberg,20,9,1.0,1,2,1179.3240646790903,10.257254650519775,15.145093010395524,0.7171766124154197,2.7971048454379734
stackelberg,20,9,1.0,1,2,1197.6875836033928,10.260333367912985,15.206667358259722,0.7234067174482158,2.3186447348600234
stackelberg,20,9,1.0,1,2,1171.1955881489112,9.544579977665398,15.891599553307955,0.7150471012790516,3.0759382435120775
stackelberg,20,9,1.0,1,2,1144.3147339057427,9.539885327724157,15.797706554483135,0.7115079863726704,2.209639232139249
stackelberg,20,9,1.0,1,3,1197.043734328735,10.271687944565494,15.433758891309841,0.7420940857267434,2.034384019818432
stackelberg,20,9,1.0,1,2,1164.1457499145492,9.54265405957463,15.853081191492624,0.7166009067589083,2.411792624249819
stackelberg,20,9,1.0,1,3,1168.144509468991,10.26746951434396,15.349390286879183,0.7363560004917127,2.308539049905986
stackelberg,20,9,1.0,1,3,1162.8437629919179,10.275911876898274,15.518237537965453,0.7269663964921551,2.4618180606630267
stackelberg,20,9,1.0,1,2,1146.754162582297,10.25848818525677,15.16976370513542,0.7413631342372795,2.184276104627277
stackelberg,20,9,1.0,1,2,1155.574489852547,9.556532900606191,16.130658012123803,0.7514308339441459,2.927252658665393
stackelberg,20,9,1.0,1,2,1138.3732494521485,10.27448829728702,15.48976594574039,0.7523493629489039,2.8228118748084787
stackelberg,20,9,1.0,1,2,1134.3009671996303,10.284793116912955,15.695862338259072,0.7546117561983596,2.2559652386322453
stackelberg,20,9,1.0,1,2,1124.6907276092234,10.273190238810654,15.463804776213086,0.7498923616254148,2.9417534780269206
stackelberg,20,9,1.0,1,2,1107.9521404176212,10.266692779398849,15.333855587977009,0.7530170682782236,2.83589086148967
stackelberg,20,9,1.0,1,2,1137.3154514085652,10.293875069046944,15.877501380938895,0.7490868533896093,2.788004280460355
stackelberg,20,9,1.0,1,2,1099.8793514296158,10.271158409147528,15.42316818295059,0.7564530079983586,2.336321778126264
stackelberg,20,9,1.0,1,2,1119.964141603958,10.299494069517271,15.989881390345438,0.7635107865536765,2.494058238842338
stackelberg,20,9,1.0,1,3,1076.7466923273166,9.559183812401525,16.183676248030533,0.7450461750565855,2.792846525834284
stackelberg,20,9,1.0,1,3,1091.842431811282,10.279088799664619,15.581775993292394,0.7805758636607322,2.126188476434966
stackelberg,20,9,1.0,1,2,1061.783289654903,8.851393577453576,17.02787154907152,0.736806063233053,1.8034901232396485
stackelberg,20,9,1.0,1,4,1075.3743774318325,9.580952270870668,16.619045417413318,0.7728039999879275,2.398247380521214
stackelberg,20,9,1.0,1,3,1064.545918403035,9.58110573834213,16.622114766842646,0.7648027251406342,3.213390833465374
